Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,103500,109500,100000,103500,103500,12917876
2019-04-01,103500,121000,100000,120000,120000,9623287
2019-05-01,120000,136000,119500,124500,124500,53083869
2019-06-01,123500,133500,116500,131500,131500,8892016
2019-07-01,132500,138000,124500,127000,127000,10965107
2019-08-01,126000,135500,117500,134500,134500,9204163
2019-09-01,134000,139000,131000,135500,135500,7389378
2019-10-01,136000,145000,128500,141500,141500,8652167
2019-11-01,142500,159000,142000,155500,155500,10187548
2019-12-01,156000,157000,144500,153500,153500,8044560
2020-01-01,153500,172500,150000,159000,159000,9028290
2020-02-01,156000,191500,156000,172000,172000,13365503
2020-03-01,174500,183000,127500,155500,155500,23041524
2020-04-01,156000,188500,149000,184000,184000,16596491
2020-05-01,184000,279500,180000,263500,263500,33007591
2020-06-01,263500,289000,247000,267500,267500,27742274
2020-07-01,271500,368000,267500,343500,343500,30988565
2020-08-01,347500,420500,341500,407000,407000,28111604
2020-09-01,413500,416000,346500,364500,364500,16674784
2020-10-01,364500,387000,358000,379000,379000,2310510
